Post Text,LLM Response,Parsed Code,Parsed Microlabel,Parsed Macrolabel,date,About Israel
"Über die Luft übertragene mRNA-Partikel könnten zur schnellen Impfung aller Menschen ohne deren Wissen oder Zustimmung verwendet werden. Wie der TKP-Blog berichtet, können die Forscher auf diesem Weg „generell verschiedene Arten von mRNA verabreichen“. Sobald die WHO und UNO ihre Pandemieverträge und Verschärfungen der internationalen Gesundheitsvorschriften genehmigt bekommen, ist dieser neuen Impf-Methode Tür und Tor geöffnet.

👉 Folgen Sie AUF1 auf Telegram: t.me/auf1tv",23,23,Misstrauen gegenüber Staats- und Mediennarrativen,Verschwörungstheorien und gesellschaftspolitische Erzählungen,2023-10-04T14:01:06.000Z,0
"‼️Vergifte dein Kind mit diesen Substanzen und du wanderst auf direktem Weg in den Knast! – Big Pharma nennt es eine Impfung …‼️

Dr. David Cartland auf X: Ich habe alle Impfstoffbestandteile in einer Liste zusammengestellt und den Giftnotruf kontaktiert. Nachdem ich mich vorgestellt und darum gebeten hatte, mit jemandem zu sprechen, der sich auskennt, ist dies der Kern des Gesprächs:

Ich: Wenn ich meinem Kind bewusst und regelmäßig diese Stoffe zuführen oder spritzen würde, würde ich natürlich meine Tochter in Gefahr bringen… Aber was würde rechtlich mit mir passieren?

Er: Seltsame Frage… Aber Sie würden wahrscheinlich wegen krimineller Fahrlässigkeit angeklagt werden… vielleicht mit Tötungsabsicht… und natürlich Kindesmissbrauch… Ihr Kind würde Ihnen weggenommen werden… Kennen Sie jemanden, der das mit seinem Kind macht? Das ist kriminell…

Ich: Eine Industrie… Das sind die Inhaltsstoffe, die in Impfstoffen verwendet werden… Mit Bindemitteln, um sicherzustellen, dass der Körper sie nicht ausspült…

https://legitim.ch/vergifte-dein-kind-mit-diesen-substanzen-und-du-wanderst-auf-direktem-weg-in-den-knast-big-pharma-nennt-es-eine-impfung/

Willst du mehr davon? Dann abonniere unseren Kanal!
👉 @LegitimNews

#Gesundheit #Wissen #Impflüge",23,23,Misstrauen gegenüber Staats- und Mediennarrativen,Verschwörungstheorien und gesellschaftspolitische Erzählungen,2023-10-16T11:02:34.000Z,0
"❗️Neues aus dem Gerichtssaal❗️ 

Die Party vom Katzenbachsee - Versammlungsrecht gestärkt ? 

Donnerstag, 19.10.2023
Amtsgericht Brackenheim

Im August 2021 erlebte das beschauliche Örtchen Pfaffenhofen bei Heilbronn Erstaunliches. So fanden sich bis zu 2.000 Menschen am Katzenbachsee ein, um zu feiern. So zumindest sah es der Mandant, der hier aber als Veranstalter eine nicht angemeldete Versammlung entgegen § 14 VersG abgehalten haben soll, was gem. § 26 Nr. 2 VersG eine Straftat darstellen würde. 

Die Frage war also erneut, ob es sich bei dem Geschehen um eine Versammlung  i.S.d. Art. 8 GG handelte. 

Dies wurde vom Gericht bejaht, weshalb es den bekannten Maßnahmenkritiker Friedemann Mack dann auch zu einer Geldstrafe von 40 Tagessätzen verurteilte. 

Im Gegensatz zu zahlreichen Entscheidungen mit der gleichen Fragestellung - insbesondere zu der abenteuerlichen Verhandlung vom gestrigen Tage am AG Langenfeld (s. dort) - war die Begründung des Gerichtes fundiert und somit juristisch nachvollziehbar, wenngleich die Verteidigung hier eine unterschiedliche Auffassung vertreten hat. 

Sollte dieses Urteil Bestand haben, so kann es sogar zukünftig positive Auswirkungen für das Versammlungsrecht haben. Das mag auf den ersten Blick widersprüchlich erscheinen, da der Mandant ja verurteilt wurde. Aber zukünftig stünden dann auch bei nicht angemeldeten Parties dieser Art zumindest die Teilnehmer unter dem Schutz des Art. 8 GG. 

Und so ergibt sich aus dieser negativen Entscheidung für den Mandanten am Ende u.U. dann doch noch etwas Positives für die Versammlungsfreiheit.

Wie die Verhandlung an einem der wohl kleinsten Amtsgerichte Deutschlands mit viel Presse und Zuschauern gelaufen ist und was Brackenheim so besonders macht, erläutere ich zusammen mit Friedemann Mack

👉 hier im Video 👈

Meine Kanäle:
👉 YouTube
👉 Telegram",16,16,Rechts- und Justizsystem,Vertrauen in Institutionen,2023-10-20T12:00:11.000Z,0
"Die Konsens-Lüge ist am Ende: Dieser Wissenschaftler sagt Klima-Hysterie den Kampf an

Der „97%-Konsens“ von Wissenschaftlern über den menschengemachten Anteil am Klimawandel sei eine Lüge, sagt Dr.-Ing. Bernd Fleischmann. Seit Jahren setzt sich der Elektrotechniker mit dem Klimawandel auseinander und resümiert: „Es gibt keine Klimakrise“. Das Schaffen von Angst basiere auf falschen Informationen und Modellrechnungen. Im „Großen Interview AUF1“ mit Mag. Elsa Mittmannsgruber widerlegt er sämtliche Klima-Mythen.

➡️ Jetzt ansehen: https://auf1.tv/das-grosse-interview/die-konsens-luege-ist-am-ende-dieser-wissenschaftler-sagt-klima-hysterie-den-kampf-an",23,23,Misstrauen gegenüber Staats- und Mediennarrativen,Verschwörungstheorien und gesellschaftspolitische Erzählungen,2023-10-29T09:04:36.000Z,0
"Die Konsens-Lüge ist am Ende: Dieser Wissenschaftler sagt Klima-Hysterie den Kampf an

Der „97%-Konsens“ von Wissenschaftlern über den menschengemachten Anteil am Klimawandel sei eine Lüge, sagt Dr.-Ing. Bernd Fleischmann. Seit Jahren setzt sich der Elektrotechniker mit dem Klimawandel auseinander und resümiert: „Es gibt keine Klimakrise“. Das Schaffen von Angst basiere auf falschen Informationen und Modellrechnungen. Im „Großen Interview AUF1“ mit Mag. Elsa Mittmannsgruber widerlegt er sämtliche Klima-Mythen.

➡️ Jetzt ansehen: https://auf1.tv/das-grosse-interview/die-konsens-luege-ist-am-ende-dieser-wissenschaftler-sagt-klima-hysterie-den-kampf-an",23,23,Misstrauen gegenüber Staats- und Mediennarrativen,Verschwörungstheorien und gesellschaftspolitische Erzählungen,2023-10-28T10:48:03.000Z,0
"‼️Die NACHRICHTEN AUF1 sind da‼️
▶️ https://auf1.tv/nachrichten-auf1/nachrichten-auf1-vom-10-oktober-2023

🔷 Nahost-Konflikt: Entmenschlichung – Israels Verteidigungsminister erklärt Palästinenser zu Tieren

🔷 Wird Israel-Krieg zum globalen Flächenbrand? Massive Auswirkungen auf Weltwirtschaft bereits spürbar

🔷 Deutschland: System-Medien verharmlosen Angriffe auf AfD-Bundesspitze – Weidel findet klare Worte

➡️ Wir sind unabhängig und kritisch, weil Sie uns unterstützen:
IBAN: AT26 3411 1000 0054 7489
BIC: RZOOAT2L111
(Unterstützerverein AUF)",23,23,Misstrauen gegenüber Staats- und Mediennarrativen,Verschwörungstheorien und gesellschaftspolitische Erzählungen,2023-10-10T16:01:33.000Z,1
"‼️Die NACHRICHTEN AUF1 sind da‼️
▶️ https://auf1.tv/nachrichten-auf1/nachrichten-auf1-vom-23-oktober-2023

🔷 Maßnahmen bei Krankheiten aller Art: WHO-Welt-Diktatur bei Pandemien geht Lauterbach nicht weit genug

🔷 Schweiz-Wahl: Sieg für konservative SVP – Grüne nur noch einstellig

🔷 Krebserregende Virus-DNA in Corona-Spritzen – Kanadische Behörde deckt Pfizer-Vertuschung auf

➡️ Wir sind unabhängig und kritisch, weil Sie uns unterstützen:
IBAN: AT26 3411 1000 0054 7489
BIC: RZOOAT2L111
(Unterstützerverein AUF)",23,23,Misstrauen gegenüber Staats- und Mediennarrativen,Verschwörungstheorien und gesellschaftspolitische Erzählungen,2023-10-23T16:01:37.000Z,0
"Genug von der Propaganda der System-Medien? 
JETZT UMSCHALTEN!

 🛰 Über Satellit empfangen Sie den Kanal „SRGT“, wo AUF1 ab sofort täglich von 6-8 Uhr und 18-22 Uhr sein Programm sendet.

➡️ HIER lesen Sie, wie sie den Sender „SRGT“ finden: 
https://t.me/auf1tv/6351",23,23,Misstrauen gegenüber Staats- und Mediennarrativen,Verschwörungstheorien und gesellschaftspolitische Erzählungen,2023-10-16T07:12:39.000Z,0
"Als gäbe es keinerlei Nebenwirkungen und sonstige berechtigte Bedenken gegen die Corona-Impfungen, verbreiten die Systemmedien weiterhin Tipps darüber, wer sich jetzt angeblich impfen lassen sollte und ob sogar eine kombinierte Doppelimpfung gegen Grippe und Corona wünschenswert wäre. 

➡️ https://auf1.info/alles-in-den-arm-pharma-lobby-trommelt-fuer-corona-und-grippeimpfung

📣 Folgen Sie auch unserem Textnachrichten-Kanal AUF1.INFO: https://t.me/auf1info",23,23,Misstrauen gegenüber Staats- und Mediennarrativen,Verschwörungstheorien und gesellschaftspolitische Erzählungen,2023-10-30T16:00:21.000Z,0
"Schweizer Volkspartei (SVP) großer Wahlgewinner 🇨🇭🗳

Während sich die SVP über die Zugewinne freut und mit dem Migrationsthema die Menschen erreichen konnte, sind die Grünen die großen Verlierer dieser Wahl. Sie verlieren gut 4 Prozent zum letzten Ergebnis und kommen somit nur mehr auf 9,1 Prozent der Stimmen. Die Menschen scheinen die Repressionen in der Corona-Zeit nicht vergessen zu haben und rächten sich an der Wahlurne.

👉🏻 Folgen Sie uns auf Telegram: https://t.me/auf1tv",11,4,Flüchtlingssituation,Allgemeine Bedenken,2023-10-22T17:51:52.000Z,0
"Von Herzen ❤  Danke für die vielen Solidaritätsbekundungen, die uns auf so vielen Wegen für Reiner erreicht haben. Das Anwaltsteam wird sie ihm ausrichten. 

Er freut sich aber bestimmt noch mehr über persönliche Briefe. 😊 

Schreibt ihm gerne an folgende Adresse:
⬇️⬇️⬇️

JVA Rosdorf
Dr. Reiner Füllmich
Am Großen Sieke 8
37124 Rosdorf

Bitte beachtet dabei folgendes:

Wenn Briefe geschrieben werden und eine Antwort erwartet wird, legt bitte drei Briefmarken á 85 Cent bei. Ob eine Antwort kommt, können wir leider nicht gewährleisten und bitten um Verständnis. 😘

Postkarten, Gemaltes und mit Glitzer versehene Post wird nicht zugestellt.

Der Sonntagstermin mit Roger ab 20 Uhr bleibt bestehen und Ihr erfahrt wichtige Neuigkeiten in der Live-Sendung bei @bitteltv.

#bleibtstandhaft 
#gemeinsamsindwirstark 
#gerechtigkeit

@icic_law_official 
@icic_law_news
@ReinerFuellmich
@ReinerFuellmichEnglish
www.icic.law",16,16,Rechts- und Justizsystem,Vertrauen in Institutionen,2023-10-15T20:44:53.000Z,0
@Qanalwwg1wga,23,23,Misstrauen gegenüber Staats- und Mediennarrativen,Verschwörungstheorien und gesellschaftspolitische Erzählungen,2023-10-20T07:40:54.000Z,invalid
"Unter den als Terror-Gefährdern geführten Personen in Deutschland, aus allen politischen und religiösen Lagern, dominieren die radikalen Islamisten mit Abstand. Dennoch wird medial die angebliche Gefahr durch sogenannte „Reichsbürger“ oder angebliche „Rechtsextremisten“ oftmals in den Fokus gerückt. Razzien finden bei Rentnern statt, die Lauterbach drohen, oder „international agierenden“ Musikproduzenten. Der Verfolgung des politischen Widerstands räumt die Antifa-Sympathisantin und Innenministerin Nancy Faeser offensichtlich mehr Priorität ein als dem tatsächlichen Schutz vor Terror.

👉🏻 Folgen Sie uns auf Telegram: https://t.me/auf1tv",7,7,Politisches und soziales Klima,Sicht auf Deutschland/USA,2023-10-31T06:45:03.000Z,0
"🚨💉AKTUELLER BERICHT:

 Pfizer wird vorgeworfen, das Vorhandensein der DNA-Sequenz des Simian-Virus 40 [SV40] in seinem mRNA-COV-D-19-Impfstoff NICHT OFFENGEGEBEN zu haben. 

Das vollständige SV40-Virus wurde in den 1950er und 1960er Jahren aus Polio-Impfstoffen eliminiert, da Bedenken hinsichtlich seines Zusammenhangs mit KREBS bestanden. 

Health Canada BESTÄTIGT das unbekannte Vorhandensein einer DNA-Sequenz in der Pfizer-Spritze.

 -Die Epochenzeiten 

@Anons17",23,23,Misstrauen gegenüber Staats- und Mediennarrativen,Verschwörungstheorien und gesellschaftspolitische Erzählungen,2023-10-19T19:55:37.000Z,0
"Das US-Militär hat nach eigenen Angaben zwei Einrichtungen der iranischen Revolutionsgarden im Osten Syriens angegriffen. ""Diese gezielten Schläge zur Selbstverteidigung sind eine Reaktion auf eine Reihe von anhaltenden und größtenteils erfolglosen Angriffen gegen US-Streitkräfte im Irak und in Syrien durch vom Iran unterstützte Milizen, die am 17. Oktober begannen"", sagte US-Verteidigungsminister Lloyd Austin in einer Erklärung.

Die Angriffe, die bereits am Donnerstag stattfanden, seien von US-Präsident Joe Biden angeordnet worden. Die angegriffenen Einrichtungen wurden dem US-Militär zufolge von den Revolutionsgarden und von unterstützten Gruppen genutzt. ""Wenn die Angriffe der iranischen Stellvertreter gegen die US-Streitkräfte anhalten, werden wir nicht zögern, weitere notwendige Maßnahmen zum Schutz unserer Bevölkerung zu ergreifen"", fügte der US-Verteidigungsminister hinzu.

https://t.me/danijelsheran",26,26,Behauptungen über ausländische Einflussnahme,Verschwörungstheorien und gesellschaftspolitische Erzählungen,2023-10-27T05:43:47.000Z,0
"Wie die Medien die Attacke auf Chrupalla herunterspielen…
...und wie würden sie berichten, wenn einem Chef einer anderen Partei so etwas passiert wäre?
Der Eiertanz unserer „Qualitätspresse“ in der Berichterstattung zu dem mutmaßlichen Anschlag auf den AfD-Chef ist nur noch peinlich und selbstentlarvend – nicht einmal mehr der Anspruch von echtem Journalismus wird aufrechterhalten. Hier mein neuer Text: https://reitschuster.de/post/wie-die-medien-die-attacke-auf-chrupalla-herunterspielen/",23,23,Misstrauen gegenüber Staats- und Mediennarrativen,Verschwörungstheorien und gesellschaftspolitische Erzählungen,2023-10-05T09:38:55.000Z,0
"‼️ 👉 Klimagipfel in Dubai: Russland lehnt Verzicht auf fossile Brennstoffe ab

""Auf der UN-Klimakonferenz in Dubai im November soll ein globales Abkommen zum Verzicht auf fossile Brennstoffe kommen. Russland stellt sich laut einem Bericht dagegen.""

https://www.berliner-zeitung.de/wirtschaft-verantwortung/neue-tendenz-russland-lehnt-verzicht-auf-fossile-brennstoffe-ploetzlich-ab-li.2148076",2,2,Umwelt- und Klimaschutzbedenken,Allgemeine Bedenken,2023-10-11T14:56:58.000Z,0
"Scholz muss weg? 
https://www.tagesspiegel.de/nehmen-sie-jetzt-an-der-umfrage-teil-wie-zufrieden-sind-sie-mit-der-arbeit-von-bundeskanzler-olaf-scholz-10636309.html",13,13,Regierung und Führung,Vertrauen in Institutionen,2023-10-19T11:17:10.000Z,0
"Mainstream-Preis soll die mRNA-Technologie für den allgemeinen Gebrauch salonfähig machen. 

Als eine der renommiertesten Auszeichnungen der Wissenschaftswelt rückt der Nobelpreis seine Preisträger in den Fokus der allgemeinen Wahrnehmung. Obwohl die experimentelle mRNA-Technologie im Kampf gegen das Corona-Virus auf breiter Front versagt hat, soll sie nun auch zur Bekämpfung anderer Krankheiten legitimiert werden.

⚠️ Unabhängige, freie Medien sind in Zeiten wie diesen besonders wichtig! Wir können nur weitermachen, weil Sie uns direkt unterstützen: https://auf1.tv/unterstuetzen",23,23,Misstrauen gegenüber Staats- und Mediennarrativen,Verschwörungstheorien und gesellschaftspolitische Erzählungen,2023-10-02T13:07:31.000Z,0
"UPDATE USA 

🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨

Trump wird Executive Order 13848 benutzen um ausländische Wahlbeeinflussung nach zuweisen benutzen. Jetzt wirds heiss!!! 

Bei der Verhandlung zum J6 wird er klassifizierte Dokumente vorbringen!!!

Quelle United states district court Columbia 

🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨

Anmerkung auch hier übersetze ich nur Zeitungsartikel oder MSM Nachrichten oder erfahre es direkt von amerikanischen Freunden

https://t.me/BuecherDerGlobalenElite",26,26,Behauptungen über ausländische Einflussnahme,Verschwörungstheorien und gesellschaftspolitische Erzählungen,2023-10-27T03:30:49.000Z,0
"Bayern und Hessen haben gewählt. Die AfD wird jeweils zweitstärkste Kraft. In Hessen kommt sie auf 18 Prozent, in Bayern auf knapp 16 Prozent. Die Aufregung um Hubert Aiwanger von den Freien Wählern hat der Partei nicht geschadet. Sie erreicht mit 15,3 Prozent das bisher beste Wahlergebnis im Freistaat. An der Spitze gibt es in beiden Bundesländern keine Überraschung, in Hessen konnte die CDU von Ministerpräsident Boris Rhein sogar um über 7 Prozent auf 34,5 Prozent zulegen. In Bayern gewinnen wenig überraschend die Christsozialen von Ministerpräsident Markus Söder, jedoch mit dem schlechtesten Ergebnis bei einer Landtagswahl seit mehr als 70 Jahren.

👉 Folgen Sie AUF1 auf Telegram: t.me/auf1tv",7,7,Politisches und soziales Klima,Sicht auf Deutschland/USA,2023-10-08T19:54:31.000Z,0
"Virtuelle Sittenhaft: Aldi Nord blockiert „X“-Nutzer.
Weil sie den falschen Profilen folgen?
Nach Kritik an einer woken Werbeaktion mit weißer Frau und schwarzem Mann sperrt der Discounter nicht nur Kritiker – sondern auch gleich noch reihenweise deren Follower. Prompt hagelt es Boykott-Aufrufe. Hier mein neuer Artikel: https://reitschuster.de/post/virtuelle-sittenhaft-aldi-nord-blockiert-x-nutzer/",8,8,Meinungsfreiheit,Sicht auf Deutschland/USA,2023-10-25T22:32:40.000Z,0
"Unter Ratten: 16 Monate saß der Arzt Heinrich Habig im Gefängnis, weil er sich gegen die staatliche Nötigung zur Impfung auflehnte und Menschen, die Angst hatten vor der mRNA-Therapie, Impfbescheinigungen ohne ""Pieks"" ausstellte. Der Staat statuierte an ihm ein Exempel. Jetzt packt er aus – im Gespräch erzählte er mir, was er alles erleben musste. Bis hin zu einer Rattenplage im Gefängnis – wo die Nager selbst aus dem Klo heraus krochen. Hier geht es zu meinem Internview: https://youtu.be/LMo9djI1GMs",23,23,Misstrauen gegenüber Staats- und Mediennarrativen,Verschwörungstheorien und gesellschaftspolitische Erzählungen,2023-10-17T10:51:50.000Z,0
"Unser wahres Ich kennt keine Spaltung, keinen Hass, keine Missgunst und keine Feindlichkeit. 

Es sind menschenverachtende Muster, die uns die selbsternannten Herrscher aufzwingen. 

Lasst uns zueinander finden und diesem Spiel in vereinter Kraft und Entschlossenheit ein Ende bereiten! 

Liebe und Heilung für alle Menschen ❤️

Neuzeit Nachrichten Kanal abonnieren
➡️ Telegram
➡️ Bastyon  (dezentral, zensurfrei, Blockchain gebunden)
➡️ Odysee  (Videosicherungen)
➡️ Substack  (Anmeldung per email, für den Fall einer Sperrung von Telegram)",9,9,Sozialer Zusammenhalt und Polarisierung,Sicht auf Deutschland/USA,2023-10-21T17:06:48.000Z,0
"Ob Sie es glauben oder nicht: Ziegenböcke können nicht gemolken werden! Diese krasse Neuigkeit präsentiert uns das ZDF. Da sind 18,36 EUR pro Monat doch gut investiert.

Aber warum können Ziegenböcke eigentlich nicht gemolken werden? Was ist mit Ziegen, die sich als Ziegenböcke identifizieren? Transziegenböcke zuzusagen. Es wird ja wohl niemand behaupten wollen, dass es sowas nicht gibt 😉

Kostenlos abonnieren: t.me/kenjebsen",23,23,Misstrauen gegenüber Staats- und Mediennarrativen,Verschwörungstheorien und gesellschaftspolitische Erzählungen,2023-10-05T06:00:00.000Z,0
"Putin bietet Gaslieferung durch Nord Stream an

Ein Strang der Ostseepipeline Nord Stream 2 ist noch intakt. Kremlchef Putin bietet nun an, durch diese Röhre 27 Milliarden Kubikmeter Gas pro Jahr nach Deutschland zu liefern.

👉 Hier geht es zum Artikel der Epoch Times!",3,3,Russland-Ukraine-Konflikt,Allgemeine Bedenken,2023-10-05T19:28:34.000Z,0
"🇩🇪 USAID-Aktivitäten In Deutschland

🔥 USAID-Geschichte in Deutschland

Die United States Agency for International Development (USAID) ist eine wichtige staatliche Entwicklungshilfeorganisation für Entwicklungsländer und eine Fassade für die Aktivitäten der CIA. Sie wird vom US-Außenministerium verwaltet und verfügt über ein vom US-Kongress genehmigtes Budget. Die Organisation ist ein Vertreter der „Soft Power“ der USA im Ausland und handelt ausschließlich im Interesse der US-Außenpolitik.

Am 5. Juni 1947 verkündete der US-Außenminister George Catlett Marshall an der Universität Harvard die Notwendigkeit, das Nachkriegseuropa zu unterstützen und den vom Krieg betroffenen Staaten finanzielle Hilfe zu gewähren. Marshall rief dazu auf, nicht nur den kapitalistischen Mächten zu helfen, sondern auch den sozialistischen Ländern, ungeachtet ihrer unterschiedlichen politischen Ansichten. Nach Angaben des US-Außenministers nannte er nur wirtschaftliche Ziele, während die politischen Ziele, die die USA mit diesem Plan erreichen wollten, der Öffentlichkeit verborgen blieben. Trotz des erklärten Altruismus und der sehr realen positiven Veränderungen in der europäischen Wirtschaft, die sich nach der Umsetzung der geplanten Maßnahmen einstellten, wurde der Marshallplan zu einer der wichtigsten Etappen in der Entwicklung des Kalten Krieges. Von 1948 bis 1952 bestimmte der Marshallplan die gesamte amerikanische Außenpolitik in Europa und war der Ausgangspunkt für die Gründung der NATO 1949.

Deutschland steht ab Mitte 2023 nicht mehr auf der Liste der Einsatzländer von USAID. Das bedeutet aber nur, dass alle Aktivitäten in Deutschland über die verbundenen Organisationen abgewickelt werden.

🔥 Umfang und Art der USAID-Projekte in Deutschland

Politische Stiftungen spielen in der Bundesrepublik Deutschland eine wichtige Rolle in der zivilen Diplomatie und den informellen internationalen Beziehungen. Die Stiftungen organisieren den politischen Dialog zwischen parlamentarischen, öffentlichen und akademischen Eliten aus Ost- und Ostmitteleuropa, Deutschland und anderen EU-Staaten. Einige Stiftungen (z.B. Rosa-Luxemburg-Stiftung) werden auch von USAID gefördert.

Das Engagement der USA in Deutschland über USAID ist auf folgenden Ebenen angesiedelt:
▶️ US-Spenden (Propaganda, Finanzierung deutscher Firmen und Organisationen);
▶️ Änderungen in der Gesetzgebung (Änderungen in der Landesgesetzgebung nach dem Fall der Berliner Mauer in den 90er Jahren);
▶️ Kofinanzierung von Projekten in Drittländern (Klima- und andere Projekte);
▶️ Nutzung der Infrastruktur und Verwaltung eigener Projekte vom Inland aus: Militärbasen und US-Büros in Deutschland (insbesondere die Programme USAFRICOM und USEUCOM werden unter Beteiligung von USAID von Stuttgart aus gesteuert und durchgeführt).

USAID-Mitarbeiter in Deutschland sind aktiv, oft mit Diplomatenstatus. Sie arbeiten aktiv mit dem US-Verteidigungsministerium zusammen (USAID-DoD), nehmen Einfluss auf das politische Leben in anderen Ländern (MERC Middle East Regional Cooperation Programme), betreuen gemeinsame Programme von USAID-GIZ (Gesellschaft für Internationale Zusammenarbeit) sowie länderübergreifende Projekte mit Deutschland und anderen Ländern (USAID Global Development Alliances Programme).

USAID ist in Deutschland tätig, um eine US-loyale Gesellschaft zu fördern, auch durch Ressourcen für die Lobbyarbeit.

💥 Bericht herunterladen:
https://denae.org/uploads/file-1697530355570.pdf",26,23,Misstrauen gegenüber Staats- und Mediennarrativen,Verschwörungstheorien und gesellschaftspolitische Erzählungen,2023-10-17T08:33:22.000Z,0
"mRNA-Experte warnt vor Herzerkrankungen und Turbo-Krebs.
Nebenwirkungen seit Jahren bekannt.
Gesundheitsforscher Martin spricht vom „größten Völkermord der Geschichte“. Sein Ziel, die Initiatoren der „Pandemie“ hinter Schloss und Riegel zu bringen, schafft dem US-Forscher mächtige Feinde. Doch die Beweise sprechen eine klare Sprache. Von Kai Rebmann. https://reitschuster.de/post/mrna-experte-warnt-vor-herzerkrankungen-und-turbo-krebs/",23,23,Misstrauen gegenüber Staats- und Mediennarrativen,Verschwörungstheorien und gesellschaftspolitische Erzählungen,2023-10-08T08:35:00.000Z,0
"Dr. David E. Martin: „Gen-Spritzen – einer der größten Völkermorde der Geschichte“ ☠️💉

Die mRNA-Injektionen lösen Krebs und Herzkrankheiten aus – das sei seit vielen Jahren bekannt, sagt der US-amerikanische Gesundheitsforscher Dr. David E. Martin. Im „Großen Interview AUF1“ benennt er die Verantwortlichen dieses Verbrechens – und wer sie finanzierte. Diese seien in krimineller Weise an einem der größten Völkermorde in der Geschichte der Menschheit beteiligt. Brisante Enthüllungen – belegt anhand ihrer eigenen, offiziellen Quellen.

Hier die ganze Sendung „Das große Interview AUF1“ ansehen: ▶️ https://auf1.tv/das-grosse-interview/dr-david-e-martin-gen-spritzen-einer-der-groessten-voelkermorde-der-geschichte",23,23,Misstrauen gegenüber Staats- und Mediennarrativen,Verschwörungstheorien und gesellschaftspolitische Erzählungen,2023-10-06T09:32:01.000Z,0
"Dr. David E. Martin: „Gen-Spritzen – einer der größten Völkermorde der Geschichte“ ☠️💉

Die mRNA-Injektionen lösen Krebs und Herzkrankheiten aus – das sei seit vielen Jahren bekannt, sagt der US-amerikanische Gesundheitsforscher Dr. David E. Martin. Im „Großen Interview AUF1“ benennt er die Verantwortlichen dieses Verbrechens – und wer sie finanzierte. Diese seien in krimineller Weise an einem der größten Völkermorde in der Geschichte der Menschheit beteiligt. Brisante Enthüllungen – belegt anhand ihrer eigenen, offiziellen Quellen.

Hier die ganze Sendung „Das große Interview AUF1“ ansehen: ▶️ https://auf1.tv/das-grosse-interview/dr-david-e-martin-gen-spritzen-einer-der-groessten-voelkermorde-der-geschichte",23,23,Misstrauen gegenüber Staats- und Mediennarrativen,Verschwörungstheorien und gesellschaftspolitische Erzählungen,2023-10-05T17:00:10.000Z,0
"EXKLUSIV: Lehrer packt aus – SO geht Islam-Unterricht an deutschen Schulen.
Indoktrination mit Steuergeld.
Was mit einem alltäglichen Leserbrief begann, entpuppte sich als handfester Skandal. Deutschland finanziert Schulbücher mit antisemitischen Inhalten nicht nur in Palästina – sondern auch in den heimischen Klassenzimmern. Von Kai Rebmann. https://reitschuster.de/post/exklusiv-lehrer-packt-aus-so-geht-islam-unterricht-an-deutschen-schulen/",11,11,Migrationspolitik,Sicht auf Deutschland/USA,2023-10-14T08:46:30.000Z,1
"„Keine Klimawandel-Leugner, keine Rassisten“ und Brandmauer gegen AfD-Politiker: Sahra Wagenknecht ist jetzt nochmal warum eine Alternative?

Folgen @unblogd",21,21,Bewertung politischer Positionen,Politische Parteien und Meinungen,2023-10-20T06:09:20.000Z,0
"27-jährige Neubauer erhält Predigtpreis für „Lebenswerk“.
Absurder als jede Satire.
Was kommt als nächstes? Erhält Karl Lauterbach den Medizin-Nobelpreis? Oder Robert Habeck einen Doppel-Nobelpreis für Wirtschaft und Literatur? Der Absurdität sind keine Grenzen mehr gesetzt. Hier mein neuer Text: https://reitschuster.de/post/27-jaehrige-neubauer-erhaelt-predigtpreis-fuer-lebenswerk/",21,21,Bewertung politischer Positionen,Politische Parteien und Meinungen,2023-10-21T23:09:53.000Z,0
"💪🏻📺 Das Meinungsmonopol der System-Medien bricht auf:  
Die großen AUF1-Dokumentationen mit Elsa Mittmannsgruber dieses Wochenende im Fernsehen! 

Heute: Zeugen der Wahrheit Teil 1 – Was in Spitälern, Heimen und Ordinationen wirklich passiert 

17 mutige Ärzte, Sanitäter, Pfleger und Therapeuten berichten über ihre Erlebnisse aus Covid-Stationen und anderen Intensivstationen, Teststationen und Impfzentren, dem ärztlichen Notdienst sowie ihren eigenen Praxen. 

➡️ Falls Sie es verpasst haben: Die ganze AUF1-Dokumention sehen Sie hier:  
https://auf1.tv/elsa-auf1/zeugen-der-wahrheit-was-in-spitaelern-heimen-und-ordinationen-wirklich-passiert 

💽 Die zensursichere DVD als Sicherungskopie und Geschenk zum Verteilen hier kaufen: https://www.auf1.shop/products/zeugen-der-wahrheit-dvd",23,23,Misstrauen gegenüber Staats- und Mediennarrativen,Verschwörungstheorien und gesellschaftspolitische Erzählungen,2023-10-14T18:01:39.000Z,0
"RTL: “Terroristen”

vs.

Tagesschau: “Kämpfer”",23,23,Misstrauen gegenüber Staats- und Mediennarrativen,Verschwörungstheorien und gesellschaftspolitische Erzählungen,2023-10-07T09:01:44.000Z,0
